text	label	category
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF	TIN
@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	OFF	TIN
@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	NOT	nan
@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF	TIN
South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”"  URL #TCOT #MAGA #RedNationRising"	NOT	nan
@USER @USER You can tell he is a hooper too	NOT	nan
@USER I feel like he is better chasing the title	NOT	nan
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	OFF	UNT
@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	NOT	nan
@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	NOT	nan
The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF	TIN
@USER No wonder he is being apologetic and more social these day....	NOT	nan
@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	OFF	TIN
@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	OFF	TIN
@USER Blow hard	NOT	nan
@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	NOT	nan
@USER @USER Please explain what controlled opposition" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."	NOT	nan
@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	NOT	nan
3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	NOT	nan
.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	NOT	nan
@USER @USER Ppl who say I'm not racist" are racist. You Are A Racist. Repeat after me"	NOT	nan
@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	NOT	nan
@USER Wow you liberals really don’t have a sense of humor.🙄	NOT	nan
@USER I'M SO FUCKING READY	NOT	nan
@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	NOT	nan
@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT	nan
@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.	NOT	nan
@USER Me too! Her wedding was the best! She is very pretty!	NOT	nan
@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	NOT	nan
@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes	NOT	nan
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	OFF	TIN
#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL	NOT	nan
@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	NOT	nan
@USER Fuck off	OFF	TIN
@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	NOT	nan
@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""	OFF	TIN
@USER @USER She is useless.  Attempts to do the right thing but never follows through.	OFF	TIN
#WalkAway liberals......Your party is POISON. URL	NOT	nan
@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	OFF	TIN
@USER You are lying. Stick with the facts. We pay more than that now.	NOT	nan
@USER Trump kicks dem butt - its so fun.	OFF	TIN
@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	OFF	TIN
#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	NOT	nan
@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍	NOT	nan
@USER And this from the clown that should be in prison?	OFF	TIN
@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	NOT	nan
@USER Thats because you are an old man.	OFF	TIN
@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF	TIN
@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie"..right now U know SQUAT about either.."	NOT	nan
@USER I do remember. :( But somehow centrist" antifa-haters can never quite seem to bring themselves to condemn such things."	NOT	nan
@USER I mean it worked for gun control right? URL	OFF	TIN
@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	NOT	nan
@USER Principled conservatives are #Hypocrickets	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa	NOT	nan
@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	NOT	nan
@USER Bring out his Antifa criminal son to campaign for him	NOT	nan
@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.	NOT	nan
A tear is made of 1% water and 99% feelings.	NOT	nan
@USER @USER Trump addresses gun control representing the NRA.  I will not let you down" he says. URL	NOT	nan
@USER She is drinking so much koolaid she’s bloated.	OFF	TIN
@USER Holder needs to be prosecuted	NOT	nan
@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!	NOT	nan
@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	OFF	TIN
*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	NOT	nan
@USER well...? URL	NOT	nan
WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	OFF	TIN
@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA" and get the base level emotional response their content requires in order to be profitable."	NOT	nan
@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.	NOT	nan
@USER Great news! Old moonbeam Just went into a coma! 😂	NOT	nan
@USER OMG HE IS SO EXTRA ILY	NOT	nan
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	OFF	TIN
@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	NOT	nan
@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	NOT	nan
@USER @USER Guy you are always present...bet why? Lol	NOT	nan
@USER @USER what a baby! URL	NOT	nan
@USER you are very persuasive fam	NOT	nan
@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL	NOT	nan
@USER Burt. A cool dude.	NOT	nan
#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	NOT	nan
@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	NOT	nan
@USER Kind of like what trump does all the time huh?	NOT	nan
@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	NOT	nan
@USER Fuck em	OFF	TIN
@USER Good move....he is the big loser	OFF	TIN
@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	NOT	nan
@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	NOT	nan
@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	NOT	nan
@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin." noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"	OFF	UNT
@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	OFF	TIN
@USER she is idk what's going on	NOT	nan
@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	NOT	nan
@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	NOT	nan
@USER The laughs I’ve gotten from you are enough. 😌	NOT	nan
@USER @USER @USER well?	NOT	nan
@USER @USER @USER First of all— they don’t even have pizza at Panera	NOT	nan
@USER @USER @USER please don't kill me. antifa on the other hand...	OFF	TIN
@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	NOT	nan
@USER Good girl @USER	NOT	nan
@USER @USER She is an ugly black hearted troll URL	OFF	TIN
@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	NOT	nan
@USER Dont believe the hype.	OFF	UNT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	NOT	nan
#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	NOT	nan
@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""	NOT	nan
@USER @USER We have been saved from you! MAGA!	OFF	TIN
@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	NOT	nan
@USER Good riddance.	NOT	nan
@USER She is a goddess	NOT	nan
@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..." and the rest standin there like "....nope he is no suffering" "so he is dead!" "...yeah, pretty dead""	NOT	nan
@USER You can probably imagine all the SJW snowflakes that don't feel safe" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."	OFF	TIN
@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	NOT	nan
@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	OFF	TIN
@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	NOT	nan
@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	NOT	nan
@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	NOT	nan
@USER SJSHSJ THATS MY JOB BITCH	OFF	TIN
@USER Do they discuss Haiti?	NOT	nan
@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	OFF	TIN
@USER He is very skilled😂😂	NOT	nan
@USER You are amazing 💛💛💛	NOT	nan
@USER Fist pump was for the troops.	NOT	nan
@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"	OFF	TIN
@USER Let the leftist democrats riot in the streets with their antifa counterparts.	OFF	TIN
@USER I thought Canada had strict gun control.  Help me understand what is happening.	NOT	nan
@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	NOT	nan
@USER He is doing life tho😑	NOT	nan
@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP	NOT	nan
@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	OFF	TIN
@USER @USER @USER Have you seen or listened to your ANTIFA pals?	NOT	nan
@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	NOT	nan
@USER Your titles scare me a little bit. ;-)	NOT	nan
@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck	NOT	nan
@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli	NOT	nan
@USER And who seems to be getting things done.	NOT	nan
I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2)	NOT	nan
@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	OFF	TIN
@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	NOT	nan
@USER This game sucks donkey balls	OFF	TIN
@USER Yo for real you are gorgeous	NOT	nan
@USER Absolutely should be a nail in the coffin.... for Hilliary	OFF	TIN
@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	NOT	nan
@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	NOT	nan
@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.	NOT	nan
@USER @USER Doesn't he partly fund Antifa?	NOT	nan
@USER He is a DUMBASS !!!!!	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	OFF	TIN
@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	OFF	TIN
@USER @USER O.K. Conservatives get to the polls. Vote red.	NOT	nan
@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	OFF	TIN
A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year." URL #MAGA #tcot"	NOT	nan
@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	NOT	nan
@USER Oh my Carmen. He is SO FRICKING CUTE	OFF	TIN
@USER Chelsea is as crazy as her mother	OFF	TIN
@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	NOT	nan
@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.	NOT	nan
@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA"! URL	NOT	nan
@USER @USER you are awesome! Thank you. You give humanity hope!	NOT	nan
@USER GOOBER	NOT	nan
@USER Another uninformed	NOT	nan
@USER I forgot he is their foster child!	NOT	nan
@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"	OFF	TIN
@USER No fucking way he said this!	NOT	nan
@USER @USER Such supposedly smart people didn't think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way.	NOT	nan
@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.	NOT	nan
@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	NOT	nan
...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"	NOT	nan
@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	OFF	TIN
@USER Yes do hurt your selves gun control freaks.	OFF	TIN
@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL	NOT	nan
@USER He always shows dedication at what he does no wonder he is the best URL	NOT	nan
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	OFF	TIN
@USER the owner of my culo	OFF	TIN
Now she scarred herself for life lol #MAGA URL	OFF	TIN
@USER you fucking -	OFF	TIN
Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF	TIN
@USER Reagan also signed the first gun control bill as governor of CA	NOT	nan
@USER Awe Hogwash do we really need you to overstate the obvious?	NOT	nan
30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	NOT	nan
I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA	OFF	TIN
(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings."  (3) Who buys .22 caliber handguns? Why? URL	NOT	nan
@USER @USER Leftists showing yet again how vile they can be	OFF	TIN
@USER He is a drunk crazy man.	OFF	TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL	NOT	nan
@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	NOT	nan
@USER You are not alone. I was sexually assaulted by a fellow law student in 1978. I never reported it because I didn't think I would be believed. However something happened that made me realize I wasn't his only victim. Then I felt I'd made a colossal mistake.	NOT	nan
@USER But Liberals do.	NOT	nan
@USER Another terrorist attack not reported by msm	NOT	nan
@USER dont know who you are so imma just URL	NOT	nan
@USER All that money hadn't made u smarter.	OFF	TIN
@USER Yes!! He is from Gilmer!! It makes me laugh so much!	NOT	nan
@USER U both r my lifeline❤🙏😂 @USER	NOT	nan
@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	NOT	nan
@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉	OFF	UNT
@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!	NOT	nan
@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	NOT	nan
@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.	NOT	nan
@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	NOT	nan
@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	OFF	TIN
@USER Yes she is	NOT	nan
@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.	NOT	nan
@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.	NOT	nan
@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not."	NOT	nan
@USER @USER Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol	NOT	nan
@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.	NOT	nan
Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL	OFF	TIN
@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.	NOT	nan
@USER @USER This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others"."	OFF	TIN
@USER @USER SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL	NOT	nan
#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL	OFF	TIN
@USER @USER Truly has got to be the most idiotic thing I've ever seen.	OFF	UNT
@USER @USER Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about	NOT	nan
@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.	OFF	TIN
@USER @USER Poor baby.	NOT	nan
@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL	NOT	nan
@USER @USER Liberals ruin everything!	OFF	TIN
@USER @USER @USER And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains""	NOT	nan
@USER Sad for both!!! To be exploited and also to have a reputation destroyed! Now I’ve read she’s  part of Antifa! ????!	NOT	nan
@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.	OFF	TIN
@USER @USER You look happy .MAGA	OFF	TIN
@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL	NOT	nan
@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL	NOT	nan
@USER @USER @USER There all gone tho and Inputed them from bottom to top with the first 20seconds of your tweet ! You good 1 Tmart 👍🏻	NOT	nan
@USER @USER Exactly. He is on record basically saying the President is above the law." It should be noted that the #gop is fine with this. Rudy has his own issues. URL	NOT	nan
#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen. Kamala Harris URL via @USER	NOT	nan
@USER Yet she is fat herself.	OFF	TIN
@USER @USER There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings aren't about guilty/innocence got on the bench. Times are diff now. Why as a journalist you don't call out white supremacy/alt-right but Antifa and pick on @USER	NOT	nan
@USER @USER You don’t understand who he is and is capablities. Despite the proof in the economy.  My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told. The liberal media made bill Clinton look good and could do the same with trump.	NOT	nan
